Code,Title,Type,Creation Date,Sessions,Enrollments
,1057657248188231063,,Draft Learning Moments,E-learning,
,1054030007176471754,,Just-in-time Learning,E-learning,
,1045442762942472108,,Optional: BetterUp Learning Moments,E-learning,
,1044292525786943908,,Extended Network Pilot,E-learning,
,1071209216654603671,,Product Feature: Global Staffing,E-learning,
,1034219460345663831,,Product Feature: Coach Rematch,E-learning,
,1020368585202535715,,Archives,E-learning,
,1013878626420116300,,Conscious Business Coaching at BetterUp,E-learning,
,1012401310601822320,,"Ethics for Coaching BetterUp Employees, Friends, & Family",E-learning,
,1007002226032766166,,BetterUp Employee Onboarding,E-learning,
,1003416811986811877,,Advancement to Fellow Coach,E-learning,
,1002213938026944820,,Coaching Test,E-learning,
,1096781148862134190,,Test MM Series,E-learning,
,1093262119048554951,,Motivation Matrix,E-learning,
,1083489810588695829,,Mars Program: Coach Instruction Briefing,E-learning,
,1064995417670930528,,Coaching at BetterUp,E-learning,
,1064616211077468668,,BetterUp Coach Onboarding,E-learning,
,1057657248188231063,,Draft Learning Moments,E-learning,
,1054030007176471754,,Just-in-time Learning,E-learning,
,1045442762942472108,,Optional: BetterUp Learning Moments,E-learning,
,1044292525786943908,,Extended Network Pilot,E-learning,
,1071209216654603671,,Product Feature: Global Staffing,E-learning,
,1034219460345663831,,Product Feature: Coach Rematch,E-learning,
,1020368585202535715,,Archives,E-learning,
,1013878626420116300,,Conscious Business Coaching at BetterUp,E-learning,
,1012401310601822320,,"Ethics for Coaching BetterUp Employees, Friends, & Family",E-learning,
,1007002226032766166,,BetterUp Employee Onboarding,E-learning,
,1003416811986811877,,Advancement to Fellow Coach,E-learning,
,1002213938026944820,,Coaching Test,E-learning,
